Weeklyearnings,female,age,agesquared,dropout,hsgrad,somecoll,collgrad,collplus
96,1,56,3136,0,1,0,0,0
96,0,62,3844,0,0,1,0,0
96.15,0,40,1600,0,0,1,0,0
96.15,0,19,361,1,0,0,0,0
96.15,1,49,2401,1,0,0,0,0
96.3,1,36,1296,0,1,0,0,0
96.92,1,62,3844,0,1,0,0,0
97.5,0,18,324,0,0,1,0,0
97.5,1,64,4096,0,1,0,0,0
97.5,1,21,441,0,0,1,0,0
97.5,0,41,1681,0,0,1,0,0
99.89,1,40,1600,0,0,1,0,0
99.9,1,49,2401,1,0,0,0,0
100,0,24,576,0,0,0,1,0
100,1,47,2209,0,1,0,0,0
100,1,37,1369,1,0,0,0,0
100,0,26,676,0,0,1,0,0
100,0,23,529,0,0,0,1,0
100,1,59,3481,1,0,0,0,0
100,1,53,2809,0,0,1,0,0
100,0,32,1024,1,0,0,0,0
100,1,40,1600,0,1,0,0,0
100,0,21,441,0,0,1,0,0
100,0,32,1024,0,1,0,0,0
100,1,29,841,0,0,0,1,0
100,1,35,1225,0,1,0,0,0
100,1,19,361,0,1,0,0,0
100,0,62,3844,1,0,0,0,0
100,1,23,529,0,0,0,1,0
100,1,19,361,0,1,0,0,0
100,1,33,1089,0,0,1,0,0
100,0,21,441,1,0,0,0,0
100,1,23,529,0,0,1,0,0
100,1,50,2500,0,1,0,0,0
100,1,37,1369,0,1,0,0,0
100,1,52,2704,0,0,1,0,0
100,1,46,2116,0,0,1,0,0
100,1,59,3481,0,1,0,0,0
100,0,25,625,0,1,0,0,0
100,1,43,1849,0,0,0,1,0
100,1,52,2704,0,1,0,0,0
100,1,37,1369,0,0,0,1,0
100,0,37,1369,0,0,0,1,0
100,1,53,2809,0,0,1,0,0
100,0,43,1849,0,1,0,0,0
100,1,29,841,1,0,0,0,0
100,1,24,576,0,1,0,0,0
100,1,28,784,0,0,0,1,0
100,1,38,1444,0,1,0,0,0
100,1,46,2116,1,0,0,0,0
